soil_moisture,blue,green,red,red_edge,NIR
20.38,0.104509292,0.130935333,0.128634427,0.248330023,0.438264465
30.91,0.115694671,0.136208512,0.12392415,0.254203325,0.469787843
19.62,0.114576212,0.148037118,0.144782659,0.274235052,0.474841156
25.79,0.125865961,0.145646951,0.13949518,0.259808799,0.477897429
27.39,0.123386927,0.149952995,0.147263896,0.272890075,0.475686527
26.3,0.123396542,0.148094875,0.137352996,0.266161935,0.469274576
26.72,0.126735931,0.150052448,0.159338775,0.274887422,0.467425363
27.73,0.129163467,0.142929364,0.152538885,0.268888177,0.472478583
20.15,0.107922874,0.132814394,0.132126498,0.253217088,0.446156057
30.96,0.117734088,0.135236326,0.124426489,0.254092311,0.473646095
20.12,0.115111677,0.155107573,0.153138208,0.295456703,0.496584046
26.68,0.123091782,0.150041269,0.141924303,0.270125507,0.487349688
27.69,0.120350339,0.157113198,0.154700382,0.289635547,0.500090681
26.28,0.127464418,0.154177192,0.141085117,0.277467635,0.490682264
27.03,0.133577681,0.159736087,0.16923784,0.293918847,0.48560891
27.84,0.132487144,0.150539564,0.15997194,0.286360099,0.487373093
20.49,0.104373293,0.138451204,0.136027094,0.267629925,0.467442039
31.09,0.116697735,0.138577304,0.128217815,0.266924427,0.490322605
19.46,0.109801221,0.145569917,0.143270163,0.269421297,0.47231411
25.76,0.12208989,0.144687477,0.13835177,0.257263191,0.471348002
27.4,0.122444582,0.147749882,0.145531917,0.269463665,0.474175483
26.25,0.121779358,0.146098527,0.135809081,0.262874527,0.463081981
26.65,0.124410339,0.148051008,0.157195929,0.271337952,0.460262186
27.72,0.127512625,0.140675634,0.151461128,0.266375199,0.468798023
20.15,0.10395425,0.13027768,0.131007533,0.251399536,0.43969026
30.87,0.11961551,0.134511973,0.124079449,0.252113822,0.468595121
19.42,0.113347893,0.14521685,0.143342504,0.268195021,0.459631713
25.71,0.123582544,0.14423673,0.138686014,0.254811538,0.466786238
27.37,0.119416859,0.147460238,0.146472144,0.267472546,0.472868238
26.28,0.126748817,0.145909281,0.136139624,0.262171429,0.459463923
26.76,0.123878687,0.148161067,0.157629039,0.270587587,0.45527506
27.7,0.129508648,0.142182162,0.151779791,0.265854608,0.459849355
20.24,0.107436204,0.131083973,0.131742886,0.249799235,0.43779231
30.87,0.12350243,0.134547707,0.124705528,0.252226668,0.466544034
19.59,0.112327367,0.14871585,0.145483873,0.280040888,0.476484607
25.85,0.122030986,0.147556525,0.139597251,0.26269242,0.476698451
27.47,0.116538623,0.150899446,0.149012706,0.276574105,0.478445549
26.38,0.123964468,0.148915075,0.137377539,0.268861949,0.468876024
26.89,0.125969059,0.151657876,0.160254351,0.278738315,0.467263031
27.8,0.12771731,0.144277258,0.153174363,0.274599275,0.47160943
20.34,0.110589881,0.133396415,0.133223808,0.25628829,0.446022252
30.94,0.11956938,0.135872593,0.125171929,0.258455175,0.46806077
19.38,0.120476996,0.145605392,0.144351327,0.269515268,0.462587474
25.8,0.12456921,0.145913702,0.139826369,0.256815751,0.472054894
27.32,0.121966982,0.149273466,0.147064719,0.269571716,0.471043464
26.23,0.128180363,0.147774,0.138799257,0.263329298,0.45924155
26.62,0.127375435,0.149438133,0.159688197,0.271894389,0.456613518
27.69,0.132989687,0.143496678,0.15332107,0.266520601,0.461716741
20.24,0.114152117,0.131272396,0.131587909,0.250313094,0.435938864
30.8,0.123022287,0.135766298,0.125616483,0.255088125,0.465114242
19.61,0.112729985,0.149782757,0.148305443,0.280962711,0.483274531
25.95,0.124513099,0.148020475,0.140335938,0.262468521,0.479670653
27.53,0.123517733,0.151955642,0.148851139,0.277635281,0.480436299
26.38,0.121363457,0.149166445,0.137946376,0.271107584,0.474638162
26.86,0.123771128,0.151923037,0.16135949,0.279184967,0.470130363
27.8,0.128254086,0.144543331,0.153086652,0.274437803,0.469269347
20.36,0.109586839,0.134606889,0.133984275,0.258062668,0.451334203
31.08,0.117749938,0.135519598,0.124433953,0.257125225,0.472360684
10.13,0.162915109,0.246370559,0.208092512,0.455669226,0.695786149
21.61,0.187357152,0.253160475,0.208231022,0.437273744,0.735768664
20.93,0.14854796,0.235656317,0.180742541,0.436114915,0.703341728
20.31,0.188181601,0.235266379,0.184228478,0.418499,0.685048872
21.3,0.164763372,0.226762808,0.213422132,0.431164974,0.624186
24.57,0.185454516,0.228462977,0.210957148,0.423539983,0.628905189
11.07,0.156119969,0.210849461,0.17544681,0.388128343,0.620812207
26.01,0.184844876,0.231416781,0.190460263,0.424536146,0.667344735
10.18,0.158026299,0.24343809,0.202509,0.437727195,0.694347704
21.66,0.1769261,0.250728963,0.201691516,0.419180967,0.732613858
21.01,0.150770994,0.234867096,0.176705123,0.419866496,0.700308216
20.32,0.181041778,0.235395145,0.180756856,0.403874213,0.686045546
21.31,0.163385318,0.226578118,0.208008978,0.415811066,0.626623242
24.6,0.181770229,0.229873397,0.205854229,0.409069707,0.626011163
11.07,0.149920453,0.208676649,0.171099582,0.372598198,0.621189767
25.88,0.179888191,0.229815255,0.184708306,0.407133161,0.659283127
10.09,0.167957731,0.246775413,0.21343625,0.470698393,0.696256082
21.66,0.188005215,0.254643952,0.213432444,0.452142236,0.737152305
20.91,0.156441192,0.236155713,0.186149807,0.451975859,0.708466568
20.33,0.187585258,0.238089737,0.189436815,0.434043122,0.688863991
21.26,0.165861527,0.227866051,0.219653105,0.446199149,0.627592705
24.57,0.18732029,0.229422612,0.215502829,0.43897914,0.631086576
11.07,0.155947525,0.212961617,0.180381235,0.402593554,0.628459063
25.76,0.185324772,0.232956013,0.194762584,0.438688624,0.666463039
10.03,0.164110095,0.248046413,0.213726783,0.467270627,0.699180495
21.62,0.188955484,0.254826367,0.214926059,0.449217496,0.737512028
20.93,0.154261243,0.237591377,0.186848126,0.449507734,0.707648549
20.32,0.190511633,0.240100173,0.190730468,0.432362215,0.691476177
21.25,0.166767715,0.229795322,0.219943187,0.444463079,0.631886513
24.53,0.189327736,0.231145283,0.216354674,0.437779505,0.633832993
11.04,0.156093673,0.214491996,0.181477061,0.401174879,0.627562149
25.75,0.186501138,0.235000995,0.196542507,0.436977064,0.66934787
10.18,0.155352638,0.241602984,0.20056675,0.438756183,0.694618018
21.67,0.177064979,0.249915566,0.201087088,0.421251588,0.729246491
20.96,0.147553781,0.232123155,0.17496981,0.419881912,0.699635564
20.36,0.17892102,0.232702724,0.178466937,0.40281396,0.679468534
21.49,0.160712353,0.224257547,0.206881471,0.415178239,0.625564969
24.57,0.180832864,0.227444103,0.204755697,0.409539203,0.62720262
11.08,0.14680783,0.207355827,0.170050231,0.372907839,0.619286585
26.04,0.177055455,0.226844115,0.183269472,0.407385944,0.658413665
10.19,0.155114838,0.24106095,0.212349854,0.481274945,0.694129684
21.66,0.176285525,0.24963858,0.211960621,0.462484624,0.732479829
20.96,0.14519716,0.233012309,0.185022124,0.462633855,0.702388225
20.36,0.179938773,0.230942471,0.187803941,0.441391013,0.678211034
21.49,0.161705342,0.224289363,0.219210963,0.458247079,0.626391801
24.6,0.18070034,0.227236258,0.216770041,0.4501412,0.627021491
11.06,0.150890166,0.20810726,0.180375166,0.412810096,0.623675915
25.75,0.179319,0.228588849,0.195735449,0.448996463,0.660763264
10.22,0.143124613,0.227853601,0.186316065,0.41780184,0.663637538
21.65,0.16084623,0.244336455,0.190294393,0.411657545,0.708142041
21.06,0.134276831,0.223759613,0.168041334,0.40333652,0.67434665
20.37,0.163478568,0.226350523,0.173920051,0.393370194,0.660128545
21.49,0.144933337,0.220104264,0.196870768,0.402951235,0.59912376
24.59,0.16355879,0.217177027,0.201893368,0.391901093,0.601204948
11,0.13598996,0.196381467,0.15896777,0.353259135,0.595597881
25.75,0.157300907,0.215431108,0.176030236,0.387044205,0.621739339
10.29,0.156145655,0.244227548,0.202922145,0.449474063,0.70612581
21.67,0.17526364,0.250335362,0.201229702,0.428665718,0.741076991
20.96,0.147547425,0.234430576,0.177310571,0.429861751,0.710425116
